Fecha,Millas,Galones,Gasto
2023/03/22,162.7,6.945,236.06
2023/03/11,222.5,10.654,360
2023/03/03,211.6,10.967,365.05
2023/02/20,206.5,10.434,350.48
2023/02/13,162,7.312,250
2023/02/06,228.5,7.854,280.31
2023/02/04,202.4,9.808,350.05
2023/01/28,190.4,9.388,335.06
2023/01/24,111.1,4.85,170.02
2023/01/20,96.3,6.146,215.05
2023/01/17,78.3,4.578,155.15
2023/01/15,54.8,1.571,50
2023/01/15,192.6,8.393,285.11
2023/01/08,208.9,9.252,305.04
2023/01/02,156.5,6.618,215.02
2022/12/30,125.2,5,160
2022/12/26,132.4,5.387,175.02
2022/12/25,93.2,3.597,115.07
2022/12/22,128.2,6.926,225.03
2022/12/19,69,2.022,65.09
2022/12/18,61.5,2.091,70.03
